  Standard Error= .652926E-02
  Parameter 1= .653430E+04
  Parameter 2= .515771E+03
  Parameter 3= .120402E-03
  Parameter 4= .756393E+03
  Parameter 5= .101695E+00
  Parameter 6= .336921E+03
  Parameter 7= .333709E+03
  Parameter 8= .330787E+03
  Parameter 9= .328348E+03
  Parameter10= .326612E+03
   .332647E+03   .110900E+04   .888250E+03
   .332678E+03   .109600E+04   .903327E+03
   .332709E+03   .931000E+03   .938648E+03
   .332740E+03   .880000E+03   .906008E+03
   .332771E+03   .848000E+03   .967708E+03
   .332803E+03   .104000E+04   .101157E+04
   .332834E+03   .112400E+04   .915212E+03
   .332865E+03   .106500E+04   .957134E+03
   .332896E+03   .960000E+03   .985512E+03
   .332928E+03   .891000E+03   .950712E+03
   .332959E+03   .912000E+03   .105304E+04
   .332990E+03   .115700E+04   .104232E+04
   .333021E+03   .133000E+04   .100560E+04
   .333052E+03   .119000E+04   .101976E+04
   .333084E+03   .104100E+04   .100102E+04
   .333115E+03   .925000E+03   .108256E+04
   .333146E+03   .100200E+04   .107462E+04
   .333177E+03   .129900E+04   .115721E+04
   .333209E+03   .130400E+04   .108756E+04
   .333240E+03   .118900E+04   .105570E+04
   .333271E+03   .100200E+04   .113175E+04
   .333302E+03   .109100E+04   .109208E+04
   .333333E+03   .115200E+04   .126024E+04
   .333365E+03   .158600E+04   .120895E+04
   .333396E+03   .141100E+04   .117591E+04
   .333427E+03   .117900E+04   .114492E+04
   .333458E+03   .108800E+04   .117526E+04
   .333490E+03   .113600E+04   .123290E+04
   .333521E+03   .146400E+04   .132580E+04
   .333552E+03   .156800E+04   .134425E+04
   .333583E+03   .138100E+04   .124089E+04
   .333614E+03   .116900E+04   .122702E+04
   .333646E+03   .120800E+04   .125802E+04
   .333677E+03   .164800E+04   .140275E+04
   .333708E+03   .203200E+04   .146910E+04
   .333739E+03   .196200E+04   .145299E+04
   .333771E+03   .174900E+04   .153028E+04
   .333802E+03   .198500E+04   .181429E+04
   .333833E+03   .211700E+04   .216842E+04
   .333864E+03   .236900E+04   .207249E+04
   .333895E+03   .183500E+04   .170954E+04
   .333927E+03   .122700E+04   .116767E+04
   .333958E+03   .109900E+04   .970968E+03
   .333989E+03   .116800E+04   .973245E+03
   .334020E+03   .167300E+04   .117649E+04
   .334051E+03   .171500E+04   .119749E+04
   .334083E+03   .121800E+04   .105238E+04
   .334114E+03   .104700E+04   .920677E+03
   .334145E+03   .132300E+04   .947655E+03
   .334176E+03   .184900E+04   .119702E+04
   .334207E+03   .181400E+04   .128525E+04
   .334239E+03   .134700E+04   .118936E+04
   .334270E+03   .114100E+04   .967393E+03
   .334301E+03   .151500E+04   .982596E+03
   .334332E+03   .202900E+04   .127844E+04
   .334363E+03   .200300E+04   .139453E+04
   .334395E+03   .148300E+04   .132259E+04
   .334426E+03   .135700E+04   .103513E+04
   .334457E+03   .182900E+04   .105406E+04
   .334488E+03   .217300E+04   .145134E+04
   .334519E+03   .211400E+04   .153869E+04
   .334551E+03   .145900E+04   .144681E+04
   .334582E+03   .153100E+04   .111014E+04
   .334613E+03   .235500E+04   .119185E+04
   .334644E+03   .238500E+04   .168883E+04
   .334675E+03   .192900E+04   .171203E+04
   .334707E+03   .153600E+04   .153453E+04
   .334738E+03   .222400E+04   .120342E+04
   .334769E+03   .252100E+04   .151113E+04
   .334800E+03   .248200E+04   .182781E+04
   .334831E+03   .175400E+04   .184015E+04
   .334863E+03   .217900E+04   .152452E+04
   .334894E+03   .286400E+04   .141345E+04
   .334925E+03   .286400E+04   .209217E+04
   .334956E+03   .230900E+04   .209765E+04
   .334987E+03   .227200E+04   .201756E+04
   .335019E+03   .296400E+04   .155624E+04
   .335050E+03   .297600E+04   .209706E+04
   .335081E+03   .272500E+04   .221432E+04
   .335112E+03   .242600E+04   .225158E+04
   .335143E+03   .318600E+04   .194306E+04
   .335175E+03   .335300E+04   .218027E+04
   .335206E+03   .315200E+04   .249603E+04
   .335237E+03   .284100E+04   .258610E+04
   .335268E+03   .335300E+04   .245389E+04
   .335299E+03   .364900E+04   .246958E+04
   .335331E+03   .352100E+04   .280615E+04
   .335362E+03   .326400E+04   .291867E+04
   .335393E+03   .376300E+04   .290895E+04
   .335424E+03   .392000E+04   .297821E+04
   .335455E+03   .383200E+04   .303940E+04
   .335486E+03   .386100E+04   .323216E+04
   .335518E+03   .382400E+04   .341656E+04
   .335549E+03   .423000E+04   .367189E+04
   .335580E+03   .416300E+04   .322933E+04
   .335611E+03   .413100E+04   .350566E+04
   .335642E+03   .439300E+04   .420098E+04
   .335674E+03   .500000E+04   .425836E+04
   .335705E+03   .488000E+04   .374146E+04
   .335736E+03   .460200E+04   .402895E+04
   .335767E+03   .531400E+04   .504854E+04
   .335798E+03   .607200E+04   .396665E+04
   .335829E+03   .499500E+04   .455803E+04
   .335861E+03   .587300E+04   .564327E+04
   .335892E+03   .707200E+04   .507372E+04
   .335923E+03   .543200E+04   .481016E+04
   .335954E+03   .624800E+04   .561631E+04
   .335985E+03   .780000E+04   .643878E+04
   .336017E+03   .613600E+04   .502587E+04
   .336048E+03   .646400E+04   .615032E+04
   .336079E+03   .780800E+04   .744953E+04
   .336110E+03   .584500E+04   .565271E+04
   .336141E+03   .699200E+04   .684453E+04
   .336172E+03   .773900E+04   .775732E+04
   .336204E+03   .620100E+04   .681941E+04
   .336235E+03   .772100E+04   .750433E+04
   .336266E+03   .728900E+04   .780836E+04
   .336297E+03   .721900E+04   .846304E+04
   .336328E+03   .784900E+04   .831231E+04
   .336359E+03   .755700E+04   .891956E+04
   .336391E+03   .838700E+04   .943852E+04
   .336422E+03   .741600E+04   .840034E+04
   .336453E+03   .887500E+04   .101703E+05
   .336484E+03   .763200E+04   .955273E+04
   .336515E+03   .889700E+04   .980414E+04
   .336546E+03   .779200E+04   .114237E+05
   .336578E+03   .892000E+04   .958084E+04
   .336609E+03   .876000E+04   .129805E+05
   .336640E+03   .942800E+04   .100849E+05
   .336671E+03   .929600E+04   .132549E+05
   .336702E+03   .966400E+04   .115733E+05
   .336733E+03   .976800E+04   .125435E+05
   .336765E+03   .101280E+05   .126921E+05
   .336796E+03   .103240E+05   .136361E+05
   .336827E+03   .106320E+05   .133544E+05
   .336858E+03   .115520E+05   .134237E+05
   .336889E+03   .138440E+05   .142084E+05
   .336920E+03   .159040E+05   .142730E+05
   .336952E+03   .179360E+05   .161534E+05
   .336983E+03   .231680E+05   .210547E+05
   .337014E+03   .325040E+05   .289031E+05
   .337045E+03   .408480E+05   .398361E+05
   .337076E+03   .356640E+05   .339859E+05
   .337107E+03   .232880E+05   .217912E+05
   .337139E+03   .105680E+05   .905804E+04
   .337170E+03   .545600E+04   .429940E+04
   .337201E+03   .270900E+04   .282232E+04
   .337232E+03   .157100E+04   .214831E+04
   .337263E+03   .124000E+04   .177416E+04
   .337294E+03   .119300E+04   .154108E+04
   .337326E+03   .109700E+04   .138434E+04
   .337357E+03   .101300E+04   .127311E+04
   .337388E+03   .987000E+03   .119068E+04
   .337419E+03   .976000E+03   .112766E+04
   .337450E+03   .947000E+03   .107826E+04
   .337481E+03   .954000E+03   .103869E+04
   .337512E+03   .889000E+03   .100641E+04
   .337544E+03   .881000E+03   .979662E+03
   .337575E+03   .889000E+03   .957259E+03
   .337606E+03   .851000E+03   .938252E+03
   .337637E+03   .848000E+03   .921968E+03
   .337668E+03   .857000E+03   .907870E+03
   .337699E+03   .897000E+03   .895605E+03
   .337730E+03   .805000E+03   .884836E+03
   .337762E+03   .789000E+03   .875350E+03
   .337793E+03   .725000E+03   .866936E+03
   .337824E+03   .768000E+03   .859389E+03
   .337855E+03   .737000E+03   .852627E+03
   .337886E+03   .715000E+03   .846543E+03
   .337917E+03   .736000E+03   .841059E+03
   .337948E+03   .693000E+03   .836047E+03
   .337980E+03   .710000E+03   .831485E+03
   .338011E+03   .681000E+03   .827318E+03
   .338042E+03   .733000E+03   .823532E+03
   .338073E+03   .693000E+03   .820043E+03
   .338104E+03   .667000E+03   .816795E+03
   .338135E+03   .715000E+03   .813799E+03
   .338167E+03   .739000E+03   .811025E+03
   .338198E+03   .672000E+03   .808474E+03
   .338229E+03   .653000E+03   .806064E+03
   .338260E+03   .625000E+03   .803825E+03
   .338291E+03   .643000E+03   .801735E+03
   .338322E+03   .633000E+03   .799807E+03
   .338353E+03   .665000E+03   .797960E+03
   .338384E+03   .664000E+03   .796230E+03
   .338416E+03   .666000E+03   .794610E+03
   .338447E+03   .635000E+03   .793112E+03
   .338478E+03   .656000E+03   .791654E+03
   .338509E+03   .680000E+03   .790284E+03
   .338540E+03   .665000E+03   .788995E+03
   .338571E+03   .664000E+03   .787804E+03
