  Standard Error= .345357E-02
  Parameter 1= .673421E+04
  Parameter 2= .614526E+03
  Parameter 3= .138855E-03
  Parameter 4= .693110E+03
  Parameter 5= .123704E+00
  Parameter 6= .336921E+03
  Parameter 7= .333697E+03
  Parameter 8= .330788E+03
  Parameter 9= .328350E+03
  Parameter10= .326612E+03
   .332178E+03   .696000E+03   .846878E+03
   .332209E+03   .769000E+03   .823486E+03
   .332241E+03   .837000E+03   .800385E+03
   .332272E+03   .928000E+03   .812093E+03
   .332303E+03   .896000E+03   .812189E+03
   .332334E+03   .805000E+03   .825179E+03
   .332365E+03   .771000E+03   .880887E+03
   .332397E+03   .769000E+03   .884075E+03
   .332428E+03   .929000E+03   .849292E+03
   .332459E+03   .100300E+04   .837611E+03
   .332490E+03   .937000E+03   .852331E+03
   .332522E+03   .867000E+03   .842851E+03
   .332553E+03   .769000E+03   .890314E+03
   .332584E+03   .817000E+03   .972117E+03
   .332615E+03   .954000E+03   .900432E+03
   .332647E+03   .110900E+04   .873189E+03
   .332678E+03   .109600E+04   .892637E+03
   .332709E+03   .931000E+03   .881505E+03
   .332740E+03   .880000E+03   .922305E+03
   .332771E+03   .848000E+03   .101137E+04
   .332803E+03   .104000E+04   .100470E+04
   .332834E+03   .112400E+04   .923389E+03
   .332865E+03   .106500E+04   .924821E+03
   .332896E+03   .960000E+03   .934947E+03
   .332928E+03   .891000E+03   .965348E+03
   .332959E+03   .912000E+03   .108620E+04
   .332990E+03   .115700E+04   .108548E+04
   .333021E+03   .133000E+04   .100894E+04
   .333052E+03   .119000E+04   .969918E+03
   .333084E+03   .104100E+04   .978990E+03
   .333115E+03   .925000E+03   .105335E+04
   .333146E+03   .100200E+04   .113554E+04
   .333177E+03   .129900E+04   .121333E+04
   .333209E+03   .130400E+04   .105198E+04
   .333240E+03   .118900E+04   .104075E+04
   .333271E+03   .100200E+04   .105388E+04
   .333302E+03   .109100E+04   .108779E+04
   .333333E+03   .115200E+04   .130417E+04
   .333365E+03   .158600E+04   .125873E+04
   .333396E+03   .141100E+04   .117296E+04
   .333427E+03   .117900E+04   .108611E+04
   .333458E+03   .108800E+04   .112655E+04
   .333490E+03   .113600E+04   .123516E+04
   .333521E+03   .146400E+04   .140423E+04
   .333552E+03   .156800E+04   .137250E+04
   .333583E+03   .138100E+04   .121447E+04
   .333614E+03   .116900E+04   .117897E+04
   .333646E+03   .120800E+04   .124471E+04
   .333677E+03   .164800E+04   .153116E+04
   .333708E+03   .203200E+04   .173241E+04
   .333739E+03   .196200E+04   .171474E+04
   .333771E+03   .174900E+04   .173098E+04
   .333802E+03   .198500E+04   .204408E+04
   .333833E+03   .211700E+04   .222046E+04
   .333864E+03   .236900E+04   .216561E+04
   .333895E+03   .183500E+04   .181785E+04
   .333927E+03   .122700E+04   .120931E+04
   .333958E+03   .109900E+04   .101120E+04
   .333989E+03   .116800E+04   .105476E+04
   .334020E+03   .167300E+04   .136954E+04
   .334051E+03   .171500E+04   .145192E+04
   .334083E+03   .121800E+04   .122573E+04
   .334114E+03   .104700E+04   .996252E+03
   .334145E+03   .132300E+04   .103937E+04
   .334176E+03   .184900E+04   .139518E+04
   .334207E+03   .181400E+04   .157596E+04
   .334239E+03   .134700E+04   .143450E+04
   .334270E+03   .114100E+04   .108283E+04
   .334301E+03   .151500E+04   .109737E+04
   .334332E+03   .202900E+04   .149499E+04
   .334363E+03   .200300E+04   .172432E+04
   .334395E+03   .148300E+04   .162221E+04
   .334426E+03   .135700E+04   .119277E+04
   .334457E+03   .182900E+04   .120416E+04
   .334488E+03   .217300E+04   .170090E+04
   .334519E+03   .211400E+04   .191346E+04
   .334551E+03   .145900E+04   .178478E+04
   .334582E+03   .153100E+04   .130322E+04
   .334613E+03   .235500E+04   .138873E+04
   .334644E+03   .238500E+04   .199892E+04
   .334675E+03   .192900E+04   .213588E+04
   .334707E+03   .153600E+04   .189275E+04
   .334738E+03   .222400E+04   .142706E+04
   .334769E+03   .252100E+04   .175833E+04
   .334800E+03   .248200E+04   .224755E+04
   .334831E+03   .175400E+04   .231147E+04
   .334863E+03   .217900E+04   .187862E+04
   .334894E+03   .286400E+04   .167008E+04
   .334925E+03   .286400E+04   .241833E+04
   .334956E+03   .230900E+04   .258476E+04
   .334987E+03   .227200E+04   .247817E+04
   .335019E+03   .296400E+04   .188209E+04
   .335050E+03   .297600E+04   .237041E+04
   .335081E+03   .272500E+04   .272277E+04
   .335112E+03   .242600E+04   .278955E+04
   .335143E+03   .318600E+04   .236505E+04
   .335175E+03   .335300E+04   .244419E+04
   .335206E+03   .315200E+04   .300651E+04
   .335237E+03   .284100E+04   .313717E+04
   .335268E+03   .335300E+04   .291885E+04
   .335299E+03   .364900E+04   .273100E+04
   .335331E+03   .352100E+04   .333003E+04
   .335362E+03   .326400E+04   .346364E+04
   .335393E+03   .376300E+04   .336428E+04
   .335424E+03   .392000E+04   .323011E+04
   .335455E+03   .383200E+04   .360930E+04
   .335486E+03   .386100E+04   .377093E+04
   .335518E+03   .382400E+04   .379099E+04
   .335549E+03   .423000E+04   .398087E+04
   .335580E+03   .416300E+04   .384122E+04
   .335611E+03   .413100E+04   .402372E+04
   .335642E+03   .439300E+04   .435140E+04
   .335674E+03   .500000E+04   .471026E+04
   .335705E+03   .488000E+04   .428216E+04
   .335736E+03   .460200E+04   .434697E+04
   .335767E+03   .531400E+04   .529519E+04
   .335798E+03   .607200E+04   .460709E+04
   .335829E+03   .499500E+04   .484860E+04
   .335861E+03   .587300E+04   .554522E+04
   .335892E+03   .707200E+04   .564229E+04
   .335923E+03   .543200E+04   .512610E+04
   .335954E+03   .624800E+04   .539007E+04
   .335985E+03   .780000E+04   .682056E+04
   .336017E+03   .613600E+04   .538224E+04
   .336048E+03   .646400E+04   .574965E+04
   .336079E+03   .780800E+04   .762917E+04
   .336110E+03   .584500E+04   .586266E+04
   .336141E+03   .699200E+04   .638450E+04
   .336172E+03   .773900E+04   .790282E+04
   .336204E+03   .620100E+04   .651629E+04
   .336235E+03   .772100E+04   .724669E+04
   .336266E+03   .728900E+04   .783605E+04
   .336297E+03   .721900E+04   .747097E+04
   .336328E+03   .784900E+04   .812712E+04
   .336359E+03   .755700E+04   .800650E+04
   .336391E+03   .838700E+04   .885054E+04
   .336422E+03   .741600E+04   .784666E+04
   .336453E+03   .887500E+04   .923613E+04
   .336484E+03   .763200E+04   .882029E+04
   .336515E+03   .889700E+04   .873246E+04
   .336546E+03   .779200E+04   .102047E+05
   .336578E+03   .892000E+04   .857272E+04
   .336609E+03   .876000E+04   .110056E+05
   .336640E+03   .942800E+04   .913710E+04
   .336671E+03   .929600E+04   .109239E+05
   .336702E+03   .966400E+04   .100073E+05
   .336733E+03   .976800E+04   .108894E+05
   .336765E+03   .101280E+05   .106875E+05
   .336796E+03   .103240E+05   .114436E+05
   .336827E+03   .106320E+05   .113511E+05
   .336858E+03   .115520E+05   .119060E+05
